feature,coefficient
osteophyte_score,0.37904702488582176
sclerosis_index,0.34359115277410596
joint_space_width,-0.31870211388508085
entropy,0.09370881686422744
mean_gradient,0.08044058557123437
mean_intensity,0.07323436698129412
cartilage_area_ratio,0.02523765175525817
kurt_intensity,0.02297860822150625
kl_grade,0.018003984923423397
correlation,-0.017499599097242403
edge_density,-0.015074533071722688
laplacian_var,-0.009528459014891782
contrast,0.008321115077050972
bone_area_ratio,-0.007031275612696197
fft_mean,-0.0059955591865087495
std_intensity,-0.005534771556860553
homogeneity,0.004485499032025821
energy,-0.0037575088818560466
hist_spread,0.0026430146508613305
skew_intensity,-0.0005599391796850966
hist_peak_pos,6.2054637630804e-05
